tier_name,pledge_usd,quantity_cap,items,estimated_delivery,ships_to
THOX.ai Supporter,5,unlimited,"Backer updates; backer wall; digital wallpaper pack",2026-10,Digital
Early-bird ThoxKey,24,500,"1 ThoxKey USB device",2027-01,Worldwide
ThoxKey Kickstarter Special,34,unlimited,"1 ThoxKey USB device",2027-01,Worldwide
Early-bird ThoxMini Air,69,350,"1 ThoxMini Air; USB-C cable; quick-start card",2027-02,Worldwide
ThoxMini Air Kickstarter Special,79,unlimited,"1 ThoxMini Air; USB-C cable; quick-start card",2027-02,Worldwide
Early-bird ThoxMini,149,300,"1 ThoxMini; USB-C power cable; quick-start card",2027-03,Worldwide
ThoxMini Kickstarter Special,169,unlimited,"1 ThoxMini; USB-C power cable; quick-start card",2027-03,Worldwide
Early-bird ThoxClip,299,200,"1 ThoxClip; charging cable; clip mount; quick-start card",2027-04,Worldwide
ThoxClip Kickstarter Special,329,unlimited,"1 ThoxClip; charging cable; clip mount; quick-start card",2027-04,Worldwide
THOX Starter Kit,99,unlimited,"1 ThoxKey; 1 ThoxMini Air",2027-02,Worldwide
THOX Developer Kit,189,unlimited,"1 ThoxKey; 1 ThoxMini",2027-03,Worldwide
THOX Wearable Pro Kit,349,unlimited,"1 ThoxKey; 1 ThoxClip",2027-04,Worldwide
THOX Complete Founder Kit,549,100,"1 ThoxKey; 1 ThoxMini Air; 1 ThoxMini; 1 ThoxClip; founder serial",2027-05,Worldwide
